trial,tsc,delta,low16,low8
187,93152504205859,76156843,21027,35
188,93152575123824,70917965,29040,112
189,93152648009034,72885210,38218,74
190,93152716536124,68527090,14652,60
191,93152790563727,74027603,52111,143
192,93152862333417,71769690,59881,233
193,93152937093299,74759882,43187,179
194,93153011329212,74235913,26812,188
195,93153080878385,69549173,42289,49
196,93153151868502,70990117,56918,86
197,93153224235838,72367336,6974,62
198,93153299950388,75714550,27444,52
199,93153371080132,71129744,50628,196
200,93153446586352,75506220,59376,240
201,93153517616508,71030156,48508,124
202,93153587978119,70361611,24455,135
203,93153660354488,72376369,49080,184
204,93153733318556,72964068,6044,156
205,93153805378777,72060221,42201,217
206,93153877876907,72498130,57515,171
207,93153949825543,71948636,47623,7
208,93154023591900,73766357,20444,220
209,93154096694107,73102207,50011,91
210,93154166853639,70159532,20487,7
211,93154241672392,74818753,62664,200
212,93154313684146,72011754,50354,178
213,93154385536827,71852681,10043,59
214,93154461694056,76157229,14440,104
215,93154532463748,70769692,5252,132
216,93154604001179,71537431,42907,155
217,93154674788406,70787227,51254,54
218,93154749676562,74888156,31762,18
219,93154823502396,73825834,64060,60
220,93154893430550,69928154,65302,22
221,93154968321739,74891189,48843,203
222,93155039876713,71554974,38505,105
223,93155110408468,70531755,53524,20
224,93155184440329,74031861,29705,9
225,93155255034085,70593756,41189,229
226,93155328278352,73244267,16208,80
227,93155404008466,75730114,52242,18
228,93155477050989,73042523,22125,109
229,93155549741130,72690141,32842,74
230,93155620580095,70838965,27391,255
231,93155690455612,69875517,41532,60
232,93155764513220,74057608,43460,196
233,93155838148958,73635738,16734,94
234,93155909845588,71696630,16980,84
235,93155984427612,74582024,19036,92
236,93156055072729,70645117,16345,217
237,93156127291677,72218948,14621,29
238,93156199798455,72506778,38583,183
239,93156274194101,74395646,50869,181
240,93156342807296,68613195,47872,0
241,93156416257998,73450702,32718,206
242,93156488286037,72028039,36693,85
243,93156562843492,74557455,14180,100
244,93156633087075,70243583,3171,99
245,93156706876046,73788971,64142,142
246,93156782024846,75148800,43150,142
247,93156852185089,70160243,14337,1
248,93156923776748,71591659,40684,236
249,93157000223114,76446366,6538,138
250,93157073012344,72789230,50808,120
251,93157142256107,69243763,23019,235
252,93157213779181,71523074,46317,237
253,93157288468425,74689244,24521,201
254,93157361483220,73014795,32212,212
255,93157431389365,69906145,11445,181
256,93157504144391,72755026,21511,7
257,93157578186058,74041667,7498,74
258,93157649392794,71206736,42138,154
259,93157726527572,77134778,41044,84
260,93157795111314,68583742,8594,146
261,93157867773006,72661692,56398,78
262,93157938642904,70869898,16344,216
263,93158012617994,73975090,1290,10
264,93158086394631,73776637,49927,7
265,93158156919691,70525060,58251,139
266,93158228627704,71708013,4344,248
267,93158299508534,70880830,40758,54
268,93158376461298,76952764,54258,242
269,93158446911729,70450431,53489,241
270,93158519400698,72488969,59642,250
271,93158592207057,72806359,55505,209
272,93158662156361,69949304,12361,73
273,93158740668563,78512202,12435,147
274,93158820076669,79408106,56445,125
275,93158886133872,66057203,53360,112
276,93158955801753,69667881,56473,153
277,93159027300647,71498894,55591,39
278,93159099951722,72651075,27242,106
279,93159171823606,71871884,6134,246
280,93159245786869,73963263,44789,245
281,93159317776686,71989817,10542,46
282,93159390378336,72601650,63840,96
283,93159461063935,70685599,36095,255
284,93159539462977,78399042,54081,65
285,93159608366638,68903661,13870,46
286,93159679081142,70714504,15030,182
287,93159753310211,74229069,57347,3
288,93159825665662,72355451,61054,126
289,93159900303081,74637419,52969,233
290,93159972270570,71967489,61930,234
291,93160044430579,72160009,1267,243
292,93160323654544,279223965,41872,144
293,93160674593424,350938880,35472,144
294,93160894569364,219975940,7060,148
295,93161200322864,305753500,35120,48
296,93161521963016,321640152,24584,8
297,93161786978506,265015490,12490,202
298,93162097039004,310060498,22172,156
299,93162377127862,280088858,10166,182
300,93162656770609,279642747,10801,49
301,93162940664739,283894130,2979,163
302,93163226905437,286240698,47965,93
303,93163517046951,290141514,61607,167
