trial,tsc,delta,low8
244,554274485251,75923344,3
245,554346650451,72165200,83
246,554417759844,71109393,100
247,554490981771,73221927,139
248,554561336069,70354298,5
249,554634478162,73142093,82
250,554709444273,74966111,177
251,554783140834,73696561,226
252,554855603745,72462911,33
253,554929193157,73589412,197
254,554999355682,70162525,34
255,555069915924,70560242,20
256,555143314813,73398889,125
257,555215693725,72378912,157
258,555289868531,74174806,243
259,555360010307,70141776,67
260,555437460694,77450387,214
261,555504635029,67174335,149
262,555578359206,73724177,166
263,555650778104,72418898,248
264,555724822181,74044077,165
265,555801185688,76363507,152
266,555871653757,70468069,125
267,555944214285,72560528,13
268,556015937393,71723108,113
269,556090734414,74797021,78
270,556161022843,70288429,123
271,556233280161,72257318,161
272,556301809488,68529327,80
273,556380917649,79108161,145
274,556453276712,72359063,40
275,556521953883,68677171,91
276,556596132124,74178241,28
277,556667277605,71145481,37
278,556741748147,74470542,179
279,556813888127,72139980,127
280,556888918019,75029892,3
281,556961466730,72548711,106
282,557030448411,68981681,27
283,557111016725,80568314,21
284,557175621559,64604834,183
285,557247580622,71959063,206
286,557320305447,72724825,39
287,557392583338,72277891,170
288,557466445668,73862330,100
289,557539535226,73089558,122
290,557610980953,71445727,89
291,557684486673,73505720,17
292,557759711768,75225095,24
293,557833409458,73697690,178
294,557901702887,68293429,231
295,557973206550,71503663,22
296,558046166835,72960285,51
297,558117009051,70842216,155
298,558192829374,75820323,190
299,558268865251,76035877,227
300,558337635673,68770422,89
301,558409954094,72318421,46
302,558484825406,74871312,62
303,558558078211,73252805,3
304,558631719590,73641379,166
305,558704662416,72942826,144
306,558778591508,73929092,20
307,558848004743,69413235,135
308,558917015541,69010798,245
309,558989666036,72650495,244
310,559063365488,73699452,112
311,559134207336,70841848,104
312,559206106933,71899597,53
313,559282611780,76504847,68
314,559352324787,69713007,179
315,559425154243,72829456,195
316,559497284209,72129966,113
317,559569390962,72106753,114
318,559642238383,72847421,175
319,559715417401,73179018,57
320,559788764801,73347400,129
321,559859994322,71229521,210
322,559934679546,74685224,250
323,560007724113,73044567,81
324,560081490421,73766308,245
325,560150807705,69317284,153
326,560223562310,72754605,70
327,560297065756,73503446,28
328,560366597601,69531845,225
329,560444647101,78049500,189
330,560513828712,69181611,104
331,560587339306,73510594,42
332,560655756782,68417476,238
333,560731337242,75580460,26
334,560805628822,74291580,150
335,560877531881,71903059,233
336,560948635176,71103295,40
337,561022662368,74027192,224
338,561095116988,72454620,188
339,561170198733,75081745,205
340,561239743988,69545255,244
341,561312509141,72765153,213
342,561384628677,72119536,197
343,561456037342,71408665,222
344,561534338296,78300954,248
345,561605852576,71514280,160
346,561675587199,69734623,127
347,561743608752,68021553,176
348,561819482202,75873450,90
349,561892002386,72520184,82
350,561965187054,73184668,238
351,562037550168,72363114,88
352,562109472194,71922026,194
353,562184270925,74798731,77
354,562252580131,68309206,35
355,562326987653,74407522,133
356,562405238099,78250446,83
357,562476589682,71351583,114
358,562546982939,70393257,27
359,562615398540,68415601,140
360,562690532062,75133522,222
361,562762155043,71622981,35
362,562833150963,70995920,243
363,562905555375,72404412,175
364,562984748495,79193120,207
365,563049453535,64705040,223
366,563126070532,76616997,4
367,563196282456,70211924,88
368,563268565033,72282577,41
369,563340842859,72277826,107
370,563415294088,74451229,136
371,563490220681,74926593,137
372,563561541755,71321074,123
373,563635110590,73568835,190
374,563706283674,71173084,154
375,563777926387,71642713,243
376,563849119964,71193577,220
377,563925164318,76044354,30
378,563997814341,72650023,69
379,564067565086,69750745,30
380,564142114544,74549458,240
381,564216377583,74263039,239
382,564284972580,68594997,36
383,564361707544,76734964,24
384,564431491540,69783996,212
385,564508337595,76846055,187
386,564580867709,72530114,125
387,564650854039,69986330,151
388,564720327177,69473138,9
389,564797696975,77369798,207
390,564867187894,69490919,182
391,564940469778,73281884,18
392,565012435401,71965623,201
393,565083521675,71086274,139
394,565159574476,76052801,204
395,565232050311,72475835,135
396,565305018228,72967917,116
397,565378266285,73248057,173
398,565452412051,74145766,147
399,565521234640,68822589,208
400,565594676405,73441765,181
401,565666789148,72112743,28
402,565736884763,70095615,27
403,565811320532,74435769,212
404,565887073613,75753081,77
405,565956440958,69367345,126
406,566028402574,71961616,142
407,566100352322,71949748,66
408,566175049782,74697460,54
409,566248180728,73130946,248
410,566318032576,69851848,192
411,566391276814,73244238,14
412,566464300563,73023749,19
413,566535991002,71690439,218
414,566612285675,76294673,235
415,566683047147,70761472,235
416,566753883830,70836683,182
417,566826461832,72578002,136
418,566899053772,72591940,204
419,566974688992,75635220,224
420,567049907402,75218410,202
421,567121101491,71194089,179
422,567186663896,65562405,216
423,567262381443,75717547,131
424,567339065133,76683690,45
425,567406438822,67373689,166
426,567478982467,72543645,67
427,567548281145,69298678,57
428,567622940376,74659231,216
429,567702452722,79512346,242
430,567772068914,69616192,50
431,567845635076,73566162,4
432,567918466093,72831017,45
433,567987630345,69164252,9
434,568062849226,75218881,202
435,568131871658,69022432,170
436,568205985509,74113851,229
437,568274911800,68926291,56
438,568353563775,78651975,127
439,568424829841,71266066,145
440,568497032034,72202193,98
441,568568899238,71867204,166
442,568637731678,68832440,94
443,568711043307,73311629,235
444,568783435496,72392189,232
445,568859369525,75934029,53
446,568930866166,71496641,246
447,569003049141,72182975,181
448,569075548690,72499549,18
449,569152432050,76883360,178
450,569220990652,68558602,188
451,569294440316,73449664,124
452,569366360622,71920306,46
453,569437902761,71542139,169
