trial,tsc,delta,low8,low16
187,3840451069443,72797271,3,50691
188,3840522386164,71316721,244,64244
189,3840593541752,71155588,120,47736
190,3840665505320,71963568,40,52776
191,3840741191260,75685940,92,44636
192,3840812270746,71079486,154,17562
193,3840882525743,70254997,47,17967
194,3840958869154,76343411,162,11938
195,3841031702260,72833106,244,34548
196,3841104896991,73194731,223,25567
197,3841176977050,72080059,154,16026
198,3841251068300,74091250,140,51596
199,3841318692589,67624289,237,42733
200,3841394259496,75566907,40,46632
201,3841464939014,70679518,6,12806
202,3841538021591,73082577,215,22743
203,3841608539083,70517492,203,23499
204,3841681060072,72520989,232,61672
205,3841752370635,71310563,203,3531
206,3841828207072,75836437,224,14816
207,3841898761888,70554816,160,52896
208,3841972917955,74156067,195,22211
209,3842042268737,69350782,65,35905
210,3842115152174,72883437,46,43310
211,3842190457809,75305635,209,48081
212,3842261168190,70710381,62,45118
213,3842339209095,78040905,135,32647
214,3842408929411,69720316,131,22659
215,3842478277318,69347907,198,33478
216,3842555293093,77015775,165,44453
217,3842627310751,72017658,159,38047
218,3842699231426,71920675,194,194
219,3842769512363,70280937,171,26539
220,3842841278202,71765839,250,30458
221,3842915022303,73744101,223,46559
222,3842986173249,71150946,65,25409
223,3843059444433,73271184,209,27345
224,3843133450936,74006503,184,43704
225,3843206561505,73110569,225,16097
226,3843280804232,74242727,136,6536
227,3843352485287,71681055,167,56743
228,3843422559334,70074047,102,7270
229,3843495823051,73263717,203,1739
230,3843570448907,74625856,11,47627
231,3843642069820,71620913,60,37692
232,3843714181003,72111183,139,59275
233,3843789286790,75105787,134,60806
234,3843858042840,68756050,216,4056
235,3843931905933,73863093,141,8077
236,3844004663661,72757728,109,20845
237,3844074929872,70266211,208,32464
238,3844148999935,74070063,255,46847
239,3844221001209,72001274,249,24057
240,3844293838098,72836889,18,50450
241,3844366854703,73016605,47,59951
242,3844440654835,73800132,243,1011
243,3844510637517,69982682,205,56781
244,3844583268286,72630769,190,8126
245,3844661762216,78493930,168,55464
246,3844732863130,71100914,154,49818
247,3844802729296,69866166,80,54608
248,3844872858331,70129035,219,60123
249,3844945363081,72504750,137,16521
250,3845022106925,76743844,45,17709
251,3845093296431,71189506,47,35119
252,3845162614319,69317888,47,15919
253,3845237844413,75230094,189,10685
254,3845311646492,73802079,28,19228
255,3845381503003,69856511,27,14363
256,3845458434133,76931130,85,6229
257,3845528560056,70125923,184,8632
258,3845604222412,75662356,204,42444
259,3845675280252,71057840,124,59260
260,3845745935236,70654984,132,900
261,3845818263426,72328190,130,42882
262,3845888505654,70242228,54,30518
263,3845966652520,78146866,104,58472
264,3846038707373,72054853,173,23725
265,3846108502833,69795460,49,23345
266,3846181409397,72906564,117,53877
267,3846254952613,73543216,165,165
268,3846327338668,72386055,172,34476
269,3846399136385,71797717,129,4737
270,3846469915519,70779134,127,4991
271,3846544649152,74733633,192,27584
272,3846616088589,71439437,13,32781
273,3846689664026,73575437,26,11290
274,3846762953437,73289411,221,31453
275,3846832332765,69379328,221,8157
276,3846909628890,77296125,218,37338
277,3846978749571,69120681,131,17539
278,3847050902513,72152942,241,15345
279,3847128211781,77309268,69,57669
280,3847197696079,69484298,79,8271
281,3847272083724,74387645,12,12556
282,3847345644433,73560709,145,41873
283,3847424184433,78540000,113,4209
284,3847488748449,64564016,161,15265
285,3847559666066,70917617,146,22930
286,3847638319265,78653199,161,32929
287,3847705114762,66795497,138,47242
288,3847778152371,73037609,179,12211
289,3847850603057,72450686,49,45617
290,3847927094347,76491290,75,56395
291,3847998431202,71336855,226,24546
292,3848066156263,67725061,231,50919
293,3848137826716,71670453,156,24988
294,3848217246717,79420001,253,15357
295,3848285660347,68413630,187,9403
296,3848360365325,74704978,13,3341
297,3848431816221,71450896,29,19997
298,3848504422400,72606179,0,12288
299,3848588038292,83615892,148,4244
300,3848647393907,59355615,115,49779
301,3848723071380,75677473,148,33172
302,3848794602000,71530620,16,64016
303,3848866196919,71594919,183,28087
304,3848940092345,73895426,185,64441
305,3849012794888,72702543,8,22024
306,3849085938750,73143862,62,27710
307,3849157821139,71882389,211,17107
308,3849230544740,72723601,100,61284
309,3849303320608,72775868,32,26656
310,3849376207560,72886952,200,37576
311,3849448949184,72741624,192,34240
312,3849519247228,70298044,124,12156
313,3849593467250,74220022,114,45426
314,3849666405538,72938288,162,42146
315,3849735989599,69584061,95,26975
316,3849815652041,79662442,201,63177
317,3849885689994,70037953,138,43146
318,3849957257917,71567923,189,45757
319,3850027290037,70032120,181,19893
320,3850101383897,74093860,217,58073
321,3850175146854,73762957,102,27494
322,3850244173758,69026904,190,44990
323,3850318860295,74686537,7,20487
324,3850388316256,69455961,96,8288
325,3850460142711,71826455,119,7287
326,3850537974183,77831472,167,47527
327,3850609001430,71027247,214,33750
328,3850680828081,71826651,177,32945
329,3850754567258,73739177,90,44122
330,3850824204694,69637436,150,16790
331,3850899808150,75603456,150,57238
332,3850971682580,71874430,20,38676
333,3851042054762,70372182,106,25194
334,3851112808048,70753286,112,65136
335,3851186059977,73251929,201,47817
336,3851261110547,75050570,19,59667
337,3851331337100,70226553,140,31628
338,3851408837943,77500843,55,3383
339,3851480434382,71596439,206,34510
340,3851549444598,69010216,246,35318
341,3851630276884,80832286,20,61716
342,3851693948356,63671472,196,32196
343,3851768510978,74562622,2,14850
344,3851841399447,72888469,151,27287
345,3851912699909,71300462,5,24581
346,3851986765824,74065915,0,34816
347,3852056984309,70218485,245,64245
348,3852132606086,75621777,134,57478
349,3852208129090,75523004,66,17474
350,3852275249406,67120316,254,28926
351,3852349913415,74664009,71,47431
352,3852422953246,73039831,30,14622
353,3852494485589,71532343,85,47189
354,3852565525898,71040309,138,46474
355,3852638296357,72770459,37,6437
356,3852714238371,75942014,163,57763
357,3852786095115,71856744,11,21515
358,3852862811387,76716272,251,60667
359,3852929899994,67088607,218,40410
360,3853004587075,74687081,67,16451
361,3853076300675,71713600,131,33667
362,3853149746410,73445735,234,13546
363,3853218616916,68870506,84,5716
364,3853293780905,75163989,169,65449
365,3853366508034,72727129,2,47618
366,3853442898768,76390734,80,23376
367,3853513461754,70562986,250,4090
368,3853584746200,71284446,216,50904
369,3853656546465,71800265,161,23713
